Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024?,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Tenés guardias?,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,Tengo (edad),Género
Provincia de Buenos Aires,Full-Time,Contractor,2222000,2172000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Usualmente participación porcentual en las ganancias, ahora estamos en una breve etapa de ahorro.",4,"No, estoy muy conforme.",Developer,2,2,2,1,Shopify,"CSS, HTML, Javascript, Liquid",WordPress,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,"No. Todos cobramos en USD, pero no hubo aumentos.",No,10,3,Universitario,En curso,Licenciatura en Sistemas de Información,UNLP - Universidad Nacional de La Plata,"Sí, pasiva",0,Porcentaje de mi sueldo bruto,35,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),5000000,3800000,Mi sueldo está dolarizado (pero cobro en moneda local),1300,No,No recibo bono,No,0,No tuve,2,Stock options / RSUs,2,"Sí, estoy buscando activamente.",Developer,14,2,2,0,"Amazon Web Services, Kubernetes","Go, Kotlin",Micronaut,"Amazon DynamoDB, PostgreSQL",JUnit,De 201 a 500 personas,100% remoto,0,no,Sí,0,1,,,,,"Sí, pasiva",0,Neto,35,masc
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000,1750000,,,No,No recibo bono,Uno,40,Febrero,2,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,5,1.5,5,0,"Amazon Web Services, Azure, Docker, Linux, Windows Server","Bash/Shell, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Node.js, React.js",Microsoft SQL Server,Jest,Más de 10000 personas,Híbrido (presencial y remoto),2,,Sí,7,3,,,,,,,,38,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),546000,453000,,,No,No recibo bono,Dos,70,Febrero,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",2,"No, pero escucho ofertas.",QA / Tester,0,0,0,0,Jira/Zephyr scale,Javascript,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),1,Sí,No,7,3,Universitario,Completo,Licenciatura en Educación,,,,,33,Femenino
La Rioja,Full-Time,Contractor,900,720,,,No,No recibo bono,No,0,No tuve,1,Abono de Internet,2,"No, pero escucho ofertas.",Developer,2,0,2,0,Firebase,"Java, Kotlin",Android,"MySQL, PostgreSQL, SQLite",Postman,De 101 a 200 personas,100% remoto,0,,No sé,0,0,,,,,,,,38,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2194150,1907240,,,De uno a tres sueldos,Mix de las anteriores,Dos,37,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",UX Researcher,2,0,1,0,Ninguna de las anteriores,"HTML, SQL",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,Dos ajustes,No sé,10,3,Maestría,Incompleto,Relaciones del Trabajo,UBA - Universidad de Buenos Aires,,,,49,Femenino
Provincia de Buenos Aires,Full-Time,Contractor,4500000,4500000,Cobro todo el salario en dólares,,Menos de un sueldo,Mix de las anteriores,Uno,25,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Sueldo dividido en dos pagos por mes",3,"No, pero escucho ofertas.",Architect,5,2,1,8,"Serverless, Salesforce ","CSS, HTML, Javascript, SQL, TypeScript","Next.js, Node.js, React.js","MariaDB, MySQL","Jest, Postman, Selenium",De 2001a 5000 personas,100% remoto,0,Por avance en el proyecto,Sí,7,3,Universitario,Incompleto,Analista de Sistemas,,No,0,Porcentaje de mi sueldo bruto,46,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,1185000,,,No,No recibo bono,Más de tres,40,Abril,3,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",BI Analyst / Data Analyst,2,3,3,0,"Azure, SAP",ABAP,"SAP, SAP Hana","HANA, Microsoft Azure (Tables, CosmosDB, SQL, etc)",Nada,De 51 a 100 personas,Híbrido (presencial y remoto),2,Si,Sí,8,4,,,,,,,,32,Femenino
Santa Fe,Full-Time,Staff (planta permanente),2200000,1900000,,,Un sueldo,Performance de la compañía,Dos,30,Marzo,4,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",SysAdmin,4,2,2,0,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Python",Ninguno de los anteriores,PostgreSQL,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,,No,9,4,,,,,,,,40,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2190222,1890000,Cobro parte del salario en dólares,,No,No recibo bono,Tres,55,Abril,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Product Owner,3,3,2,0,Ninguna de las anteriores,PHP,Ninguno de los anteriores,"Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),3,"Si, ajustes mensuales por inflacion",No,0,5,Universitario,Completo,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,,,,27,Femenino
Córdoba,Full-Time,Staff (planta permanente),900,800,,,No,No recibo bono,Dos,30,Abril,2,"Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, etc)",2,"Sí, estoy buscando activamente.",Developer,3,1,3,0,Docker,"CSS, HTML, Javascript, SQL","Bootstrap, Next.js, Node.js, React.js",MySQL,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,No sé,10,5,,,,,,,,25,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),520000,420000,,,No,No recibo bono,Uno,30,Marzo,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,0,0,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript",React.js,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,Ajuste por inflación en Noviembre del año pasado y Marzo de este año,Sí,7,4,Universitario,Incompleto,Ingeniería en Informática,UBA - Universidad de Buenos Aires,No,0,Porcentaje de mi sueldo bruto,33,Masculino
Santa Fe,Full-Time,Contractor,5000000,5000000,Cobro todo el salario en dólares,,Un sueldo,Mix de las anteriores,No,0,No tuve,3,Ninguna de las anteriores,4,"No, estoy muy conforme.",Data Scientist,5,0,3,0,Amazon Web Services,Python,TensorFlow,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,no,No,10,5,,,,,,,,34,Masculino
Mendoza,Full-Time,Contractor,3000000,3000000,Cobro todo el salario en dólares,1020,No,No recibo bono,No,0,No tuve,3,Ninguna de las anteriores,4,"No, pero escucho ofertas.",Data Engineer,2,0,0,0,"Amazon Web Services, Docker, Google Cloud Platform, Linux, Serverless","Bash/Shell, Java, Python, Scala","Hadoop, Spark","Amazon Redshift, Amazon RDS/Aurora, Google Cloud Storage, Apache Iceberg",Pytest,De 2 a 10 personas,100% remoto,0,,No,10,5,,,,,,,,38,Masculino
Santa Fe,Part-Time,Freelance,2500000,1800000,,,No,No recibo bono,Uno,50,Marzo,2,Horarios flexibles,2,"No, pero escucho ofertas.",Developer,8,6,2,0,Firebase,".NET, C#, CSS, HTML, PHP, SQL, VBA",".NET Core, Bootstrap, WordPress","Microsoft SQL Server, MySQL",Ninguna de las anteriores,1 (solamente yo),100% remoto,0,,No,5,1,,,,,,,,35,Masc pongan opciones
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2500000,2200000,,,Menos de un sueldo,Mix de las anteriores,Dos,30,Marzo,3,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Infosec,10,2,1,1,"Azure, Docker, Linux, VMWare, Windows Server","HTML, Javascript, Python",Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,,No,7,3,,,,,,,,32,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),730000,624000,,,No,No recibo bono,Tres,67,Marzo,2,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",Soporte de aplicaciones / Desarrollador .net,1,1,1,0,"SAP, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, SAP, SAP Hana",Microsoft SQL Server,Ninguna de las anteriores,De 2001a 5000 personas,Híbrido (presencial y remoto),4,Si,No sé,7,4,,,,,,,,31,Masculino
Provincia de Buenos Aires,Part-Time,Contractor,250000,250000,,,No,No recibo bono,Dos,50,Marzo,1,Horarios flexibles,2,"Sí, estoy buscando activamente.",Developer,2,1,1,0,"Docker, Linux","Javascript, TypeScript","Next.js, Node.js, React.js","MongoDB, MySQL",Jest,De 2 a 10 personas,100% remoto,0,,No,7,1,Universitario,En curso,Ingeniería en Informática,,,,,26,Marculino
Ciudad Autónoma de Buenos Aires,Part-Time,Staff (planta permanente),760860,631500,,,Menos de un sueldo,Performance individual,Uno,60,Marzo,4,Capacitaciones y/o cursos,3,"No, estoy muy conforme.",Developer,1,1,1,2,"Docker, Kubernetes, Linux","Bash/Shell, HTML, Javascript, Python, TypeScript","Bun, Node.js","MongoDB, PostgreSQL","Cucumber, Cypress, Postman",De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,10,5,Universitario,En curso,Ingeniería en Informática,UADE - Universidad Argentina De la Empresa,No,0,Bruto,21,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1350000,1119000,,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Capacitaciones y/o cursos",3,"Sí, estoy buscando activamente.",Developer,2,2,2,0,"Kubernetes, Microcontroladores, ","Bash/Shell, CSS, HTML, Java, Javascript, SQL, TypeScript, ","Angular, Bootstrap, Hibernate, jQuery, React.js, SwiftUI, Spring, Vue.js","MySQL, Oracle, PostgreSQL","JUnit, Postman",De 101 a 200 personas,100% remoto,0,,No sé,9,4,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Neto,29,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2392548,2136343,,,De uno a tres sueldos,Mix de las anteriores,Uno,35,Marzo,4,"Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Guardería o pago para cubrir costo de guardería",4,"No, pero escucho ofertas.",Data Engineer,9,2,0,0,"Amazon Web Services, Google Cloud Platform","Go, Javascript, Python, SQL",WordPress,"Google Cloud Storage, Microsoft SQL Server, MySQL, Teradata",Postman,Más de 10000 personas,Híbrido (presencial y remoto),1,"Si, por inflación y por performance",No,8,3,Terciario,En curso,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,No,0,Neto,37,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1100000,927000,Mi sueldo está dolarizado (pero cobro en moneda local),932,No,No recibo bono,Dos,23,Abril,3,Licencia por nacimiento extendida,2,"No, pero escucho ofertas.",HelpDesk,14,14,5,3,"Google Cloud Platform, SAP",ABAP,"SAP, SAP Hana",Google Cloud Storage,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,Si,No sé,5,0,,,,,,,,46,Masculino
Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1360000,1090000,,,No,No recibo bono,Dos,25,Marzo,2,Ninguna de las anteriores,2,"No, pero escucho ofertas.",SysAdmin,15,0,0,0,"Docker, Linux","Bash/Shell, Perl, PHP, Python, SQL",Ninguno de los anteriores,"ElasticSearch, MariaDB, MySQL, PostgreSQL, SQLite",Ninguna de las anteriores,De 51 a 100 personas,100% presencial,0,No renovación de contratos,Sí,7,1,Universitario,Completo,Licenciatura en Ciencias de la Computación,UNS - Universidad Nacional del Sur,"Sí, pasiva",0,Bruto,50,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),150,123,Cobro parte del salario en dólares,950,No,No recibo bono,No,0,No tuve,2,"Descuento en gimnasios / Clases de gimnasia online, Stock options / RSUs",2,"Sí, estoy buscando activamente.",Community Manager,1,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,WordPress,Ninguna de las anteriores,Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),3,-,Sí,3,1,Universitario,En curso,Licenciatura en Ciencias de la Comunicación,UBA - Universidad de Buenos Aires,"Sí, activa",0,Porcentaje de mi sueldo bruto,23,Femenino
Tucumán,Full-Time,Contractor,1700000,1680000,Cobro todo el salario en dólares,1050,Menos de un sueldo,Aguinaldo,No,0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas",4,"No, estoy muy conforme.",Salesforce Developer - Administrator,1,0,1,0,Teams - Gmail - Slack - Salesforce,"Javascript, Apex",Ninguno de los anteriores,SOSL - SOQL,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,No,No,7,5,Terciario,Completo,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,23,Masculino
Provincia de Buenos Aires,Part-Time,Contractor,260000,260000,,,No,No recibo bono,Uno,30,Marzo,2,"Capacitaciones y/o cursos, Horarios flexibles",1,"No, pero escucho ofertas.",Networking,1,1,1,0,"Docker, Linux, Microcontroladores, VMWare, Windows Server","Arduino, Bash/Shell, SQL",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),3,,No,8,4,Universitario,En curso,Ingeniería en Computación,UNLP - Universidad Nacional de La Plata,,,,29,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1540986,1279018,,,Un sueldo,Performance individual,Dos,64,Marzo,2,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",2,"No, pero escucho ofertas.",BI Analyst / Data Analyst,2,12,2,0,Azure,SQL,Hadoop,"Apache Hive, Microsoft SQL Server, Teradata",Ninguna de las anteriores,De 1001 a 2000 personas,Híbrido (presencial y remoto),1,,No,0,4,Universitario,Incompleto,Licenciatura en Economía,UBA - Universidad de Buenos Aires,,,,38,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1216000,1009280,,,No,No recibo bono,Uno,20,Marzo,2,"Abono de celular, Abono de Internet, Comidas pagas / subvencionadas",3,"No, estoy muy conforme.",SysAdmin,15,0,11,0,"Docker, Linux",Bash/Shell,Ninguno de los anteriores,"MySQL, PostgreSQL",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,,No,8,0,Secundario,Completo,,,No,0,Porcentaje de mi sueldo bruto,34,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),569611,472777,,,No,No recibo bono,Tres,20,Abril,3,Ninguna de las anteriores,3,"No, estoy muy conforme.",QA / Tester,2,2,2,2,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),1,,No,6,1,,,,,,,,28,No binarie
Misiones,Full-Time,Staff (planta permanente),800,400,,,Menos de un sueldo,Performance individual,Uno,30,Marzo,1,Ninguna de las anteriores,1,"Sí, estoy buscando activamente.",DevOps Engineer,2,1,1,0,"Amazon Web Services, Docker, Kubernetes",Java,Ninguno de los anteriores,Oracle,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,En noviembre 2023se adelanto el SAC. En diciembre reajuste por inflación. Marzo reajuste por inflación.,Sí,1,0,Universitario,Completo,Analista Programador Universitario,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,30,Femenino
Santa Fe,Full-Time,Staff (planta permanente),1800000,1500000,,,No,No recibo bono,Dos,45,Abril,3,"Clases de idiomas, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",Developer,5,1,1,2,"Azure, Docker, Serverless",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Next.js, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, PostgreSQL",Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),3,,No,4,5,Secundario,Completo,,,No,0,Neto,33,Masculino
Santa Fe,Full-Time,Contractor,4000000,4000000,Cobro todo el salario en dólares,,No,No recibo bono,Uno,0,No tuve,2,Horarios flexibles,3,"No, pero escucho ofertas.",Developer,8,3,3,4,"Docker, Linux, Microcontroladores","Bash/Shell, C, C++, Go, Javascript, Rust, TypeScript","Bun, Node.js",Ninguna de las anteriores,Jest,De 11  a 50  personas,100% remoto,0,,No,4,3,,,,,,,,33,Masculino
Córdoba,Full-Time,Staff (planta permanente),2300000,2200000,,,No,No recibo bono,Dos,135,Marzo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",SysAdmin,5,2,5,3,"Linux, VMWare, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,,No,10,1,,,,,,,,35,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,2500000,2000000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,Ninguna de las anteriores,3,"No, pero escucho ofertas.",DevOps Engineer,3,0,0,0,"Amazon Web Services, Azure, Google Cloud Platform, Kubernetes, Linux, Serverless, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No sé,8,3,Universitario,Incompleto,Licenciatura en Informática,UNLP - Universidad Nacional de La Plata,,,,30,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1886610,1577887,,,Un sueldo,Mix de las anteriores,Uno,45,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",4,"No, pero escucho ofertas.",Developer,2,0,0,0,Azure,".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",NUnit,De 1001 a 2000 personas,Híbrido (presencial y remoto),2,,No sé,10,4,Universitario,En curso,Ingeniería Civil,UTN - Universidad Tecnológica Nacional,,,,23,Masculino
Provincia de Buenos Aires,Full-Time,Contractor,3500000,3400000,Cobro parte del salario en dólares,Cobro afuera,No,No recibo bono,No,0,No tuve,3,"Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Technical Leader,20,0,0,1,"Amazon Web Services, Docker, Kubernetes, VMWare","Bash/Shell, Go, Javascript","Next.js, Node.js, Vue.js","Amazon DynamoDB, Amazon RDS/Aurora, MongoDB, Redis",Ninguna de las anteriores,De 51 a 100 personas,100% remoto,0,,Sí,10,4,,,,,,,,39,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),550000,450000,,,No,No recibo bono,No,0,No tuve,3,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",SysAdmin,25,4,4,0,"Linux, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,"Microsoft SQL Server, MongoDB",Ninguna de las anteriores,De 101 a 200 personas,100% remoto,0,Si,No sé,5,3,,,,,"Sí, pasiva",110000,Porcentaje de mi sueldo bruto,53,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2350000,2030000,,,Un sueldo,Performance individual,Dos,50,Abril,3,"Abono de celular, Abono de Internet, Clases de idiomas, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,5,5,2,0,Ninguna de las anteriores,"CSS, Javascript, SQL",jQuery,"Microsoft SQL Server, Oracle","Postman, SoapUI",De 51 a 100 personas,100% remoto,0,Ajustes mensuales o bimestrales,No,9,4,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,28,Masculino
Córdoba,Full-Time,Staff (planta permanente),1165000,850000,,,Menos de un sueldo,Performance individual,Dos,57,Mayo,3,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas",3,"No, pero escucho ofertas.",Developer,1,1,1,0,Windows Server,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap",Microsoft SQL Server,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,si,No,6,5,,,,,,,,31,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),816020,677297,,,No,No recibo bono,Dos,15,Marzo,2,Prepaga,2,"Sí, estoy buscando activamente.",Developer,2,2,1,5,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Next.js, Node.js, React.js, Express",Microsoft SQL Server,"Cypress, Jest, Postman, React testing library ",De 201 a 500 personas,Híbrido (presencial y remoto),2,Se aplicaron 3 aumentos de 15% sobre el sueldo de febrero 2023 (no de los respectivos meses anteriores),No,4,1,Secundario,Completo,Bootcamp,,No,0,Porcentaje de mi sueldo bruto,46,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),810,650,,,No,No recibo bono,Dos,50,Abril,3,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,2,0,0,0,"Azure, Docker, Linux, Microcontroladores, Windows Server",".NET, C#, Delphi, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, Node.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),2,Ajustes segun inflacion,Sí,9,5,Terciario,En curso,Tecnicatura en Sistemas,UTN - Universidad Tecnológica Nacional,No,0,Porcentaje de mi sueldo bruto,20,Masculino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),7000000,5000000,Cobro parte del salario en dólares,1023,No,No recibo bono,No,0,No tuve,4,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs",4,"No, estoy muy conforme.",Manager / Director,7,3,1,4,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, Python",Flask,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, Redis",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,1,Si,Sí,9,3,Universitario,Completo,Ingeniería en Informática,UNJu - Universidad Nacional de Jujuy,No,0,Porcentaje de mi sueldo bruto,33,Femenino
Provincia de Buenos Aires,Part-Time,Freelance,400000,350000,Cobro todo el salario en dólares,1090,No,No recibo bono,No,0,No tuve,3,Ninguna de las anteriores,2,"Sí, estoy buscando activamente.",QA / Tester,3,2,2,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,"OpenQA, Postman, Silktest",1 (solamente yo),100% remoto,0,,No,7,3,,,,,,,,28,Femenino
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),400,,,,No,No recibo bono,Dos,30,Mayo,3,"Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc)",2,"Sí, estoy buscando activamente.",QA / Tester,0,0,0,0,Azure,Javascript,Ninguno de los anteriores,Microsoft SQL Server,"Appium, Postman",De 201 a 500 personas,Híbrido (presencial y remoto),1,,No sé,6,4,Universitario,En curso,Licenciatura en Sistemas de Información,,,,,23,Masculino
Mendoza,Full-Time,Staff (planta permanente),3091906,2359601,,,Menos de un sueldo,ninguno,Tres,50,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,3,1,3,0,"Docker, Kubernetes, Linux, OpenShift","HTML, Java, Javascript, TypeScript","Angular, Cordova",Oracle,"Jest, JUnit, Postman",De 5001 a 10000 personas,100% remoto,0,si,No sé,8,4,,,,,,,,30,masculino
San Juan,Full-Time,Contractor,305000,285000,,,No,No recibo bono,Dos,15,Febrero,1,"Horarios flexibles, Viáticos",2,"No, pero escucho ofertas.",HelpDesk,3,2,1,0,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 2 a 10 personas,100% presencial,0,,No,5,1,,,,,,,,28,Masculino
