Timestamp,Dónde estás trabajando,Dedicación,Tipo de contrato,Último salario mensual o retiro BRUTO (en pesos argentinos),Último salario mensual o retiro NETO (en pesos argentinos),Pagos en dólares,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2024? ,¿De qué % fue el ajuste total acumulado?,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Años en el puesto actual,¿Cuántas personas tenés a cargo? ,Plataformas que utilizas en tu puesto actual ,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajás bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina? ,"En los últimos 6 meses, ¿se aplicó alguna política de ajustes salariales?","En los últimos 6 meses, ¿hubo reducción de personal?",¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Salir o seguir contestando sobre las guardias? ,¿Tenés guardias? ,Cuánto cobrás por guardia,Aclará el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios? ,Tengo (edad),Género,¿Habías respondido nuestra encuesta en ediciones anteriores?,¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento en tu ciudad?
5/7/2024 17:00:38,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),508907,463878,,,Menos de un sueldo,Mix de las anteriores,Más de tres,90,Mayo,4,"Abono de Internet, Horarios flexibles",2,"No, pero escucho ofertas.",Developer,1,3,1,0,"Amazon Web Services, Azure, Linux, Serverless, Windows Server","CSS, HTML, Javascript, PHP, Python","Flask, Laravel",MySQL,Postman,De 2 a 10 personas,100% remoto,0,,No,0,2,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Informática,UNLP - Universidad Nacional de La Plata,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,26,Masculino,No,
5/7/2024 17:06:02,Santiago del Estero,Full-Time,Contractor,600000,600000,Cobro todo el salario en dólares,,Menos de un sueldo,Mix de las anteriores,No,0,No tuve,2,"Capacitaciones y/o cursos, Horarios flexibles",2,"No, estoy muy conforme.",Developer,1,1,1,0,"Amazon Web Services, Docker, Linux","Javascript, TypeScript","Next.js, Node.js, React.js","MySQL, PostgreSQL","Cypress, Jest",De 101 a 200 personas,100% remoto,0,"Sí, bonus por la baja del dólar blue ",No,10,4,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas de Información,UP - Universidad de Palermo,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,22,Masculino ,No,
5/7/2024 17:10:06,San Juan,Full-Time,Staff (planta permanente),1194592,973592,,,No,No recibo bono,Uno,10,Febrero,1,Ninguna de las anteriores,1,"No, pero escucho ofertas.",Developer,17,12,8,0,"Amazon Web Services, Docker, Linux, Windows Server","CSS, HTML, Javascript, PHP, SQL, TypeScript","Bootstrap, CodeIgniter, Flutter, jQuery, Node.js, Vue.js, WordPress","MariaDB, Microsoft SQL Server, MySQL, Oracle, SQLite","Jest, Postman, Puppeteer",De 2001a 5000 personas,100% presencial,0,,Sí,0,1,Terminar encuesta,,,,,,,,,,45,Masculino ,Sí,
5/7/2024 17:13:32,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1,1000000,,,No,No recibo bono,Tres,25,Mayo,3,Ninguna de las anteriores,2,"No, pero escucho ofertas.",Developer,6,4,4,0,"Docker, Linux","Go, HTML, Javascript, PHP, Python, SQL","Bootstrap, Django, Drupal, Flask, HTMX, jQuery, Node.js, Vue.js","MariaDB, MySQL, PostgreSQL, SQLite",Postman,De 51 a 100 personas,Híbrido (presencial y remoto),1,,No,5,4,Responder sobre mis estudios,Universitario,Incompleto,Analista Programador Universitario,,Terminar encuesta,,,,,33,Masculino ,Sí,
5/7/2024 17:14:26,Córdoba,Full-Time,Staff (planta permanente),2145000,1891303,,,No,No recibo bono,Tres,30,Mayo,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, estoy muy conforme.",Project Manager,28,1,2,0,"Amazon Web Services, OpenStack, Serverless, Windows Server",".NET, C#, HTML, Java, Javascript, TypeScript",".NET Core, Angular, Bootstrap, HTMX, jQuery, React.js, Vue.js","Amazon RDS/Aurora, ElasticSearch, Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,se ve mes a mes,No,8,5,Terminar encuesta,,,,,,,,,,46,Masculino,Sí,no lo se
5/7/2024 17:17:02,Provincia de Buenos Aires,Full-Time,Contractor,9089280,9089280,Cobro todo el salario en dólares,1080,No,No recibo bono,No,0,No tuve,3,"Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",QA / Tester,13,2,2,0,Google Cloud Platform,Python,SwiftUI,PostgreSQL,Postman,De 11  a 50  personas,100% remoto,0,no,No,9,1,Responder sobre mis estudios,Terciario,Completo,Analista de Sistemas,,Terminar encuesta,No,0,Bruto,Responder sobre mis estudios,44,Masculino,Sí,
5/7/2024 17:19:10,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1696000,1444900,,,No,No recibo bono,Dos,35,Marzo,1,Clases de idiomas,1,"Sí, estoy buscando activamente.",Developer,10,1.7,1.7,1,"Docker, Linux",Java,"Hibernate, Spring","MongoDB, MySQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,Cada 3 meses ajuste por inflación + desempeño,No sé,8,5,Responder sobre guardias,Secundario,Completo,,,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,34,Masculine,No,
5/7/2024 17:21:43,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1962725,1316422,,,No,No recibo bono,Uno,36,Enero,1,Comidas pagas / subvencionadas,1,"No, pero escucho ofertas.",Jefe de Sistemas,30,20,15,8,"Linux, Solaris, Windows Server",".NET, Bash/Shell, C#, CSS, HTML, Javascript, SQL, VBA",".NET Core, Bootstrap, jQuery, WordPress","MariaDB, Microsoft SQL Server, MySQL, Oracle, SQLite",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),3,"Si, en enero. Estamos negociando ajustes retroactivos en febrero, marzo y abril ",No,1,3,Terminar encuesta,,,,,,,,,,50,Masculino ,Sí,
5/7/2024 17:21:55,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4100000,3350000,Cobro parte del salario en dólares,907,Un sueldo,Mix de las anteriores,Dos,50,Abril,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, estoy muy conforme.",Manager / Director,14,8,3,17,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,1,"Si, todos los meses",Sí,0,5,Terminar encuesta,,,,,,,,,,41,Masculino,Sí,
5/7/2024 17:32:10,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4750000,2700000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Abono de Internet, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,12,1,1,1,Firebase,Kotlin,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,,Sí,0,2,Terminar encuesta,,,,,,,,,,35,Masculino ,Sí,
5/7/2024 17:33:07,Córdoba,Full-Time,Staff (planta permanente),4000000,3780000,Cobro todo el salario en dólares,1050,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Cloud engineer,7,0,0,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Kubernetes, Serverless","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Amazon Redshift, Amazon RDS/Aurora, ElasticSearch, Google Cloud Storage, MariaDB, PostgreSQL",Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,-,No,8,2,Terminar encuesta,,,,,,,,,,30,Masculino ,No,
5/7/2024 17:42:31,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),640000,530000,,,No,No recibo bono,Uno,42,Abril,2,"Abono de celular, Capacitaciones y/o cursos, Horarios flexibles",2,"No, pero escucho ofertas.",DBA (Database Administrator),1,0,1,0,"Google Cloud Platform, Linux, VMWare, Windows Server","Bash/Shell, SQL",Ninguno de los anteriores,"IBM Db2, Informix, Microsoft SQL Server, MySQL, Oracle, PostgreSQL",Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,No,No sé,5,2,Responder sobre mis estudios,Terciario,Completo,Analista de Sistemas,ESBA - Escuela Superior Buenos Aires,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,24,Masculino,No,N/A
5/7/2024 17:48:42,Santa Fe,Full-Time,Staff (planta permanente),1011268,839353,,No cobro en dolares pero uso la casilla para indicar que los numeros son en base a trabajar 6 hs,No,No recibo bono,Más de tres,11.01,Mayo,3,"Capacitaciones y/o cursos, Horarios flexibles, Devolucion IVA en compra de equipamiento",4,"No, pero escucho ofertas.",Developer,1,1,1,0,"Amazon Web Services, Docker",".NET, SQL",".NET Core, Bootstrap",Microsoft SQL Server,Xunit,De 11  a 50  personas,100% remoto,0,Todos los meses por IPC,No,9,3,Responder sobre mis estudios,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UNR - Universidad Nacional de Rosario,Terminar encuesta,No,0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,24,Masculino,No,
5/7/2024 17:49:51,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4000000,4000000,Cobro todo el salario en dólares,1000,No,No recibo bono,No,0,No tuve,2,Clases de idiomas,2,"No, pero escucho ofertas.",DevOps Engineer,10,3,0,1,"Amazon Web Services, Docker, Linux",Bash/Shell,Ninguno de los anteriores,"Amazon DynamoDB, Amazon RDS/Aurora, MariaDB, MongoDB, MySQL, Redis",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,no,No,3,1,Responder sobre guardias,Universitario,Incompleto,Lic. Sociologia,UBA - Universidad de Buenos Aires,Terminar encuesta,"Sí, pasiva",0,Neto,Responder sobre mis estudios,40,Masculino,Sí,-
5/7/2024 17:52:31,Córdoba,Full-Time,Staff (planta permanente),2978000,2527000,,,Un sueldo,Mix de las anteriores,Dos,35,Abril,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",4,"No, pero escucho ofertas.",Developer,2,2,1,0,Google Cloud Platform,"Go, Java, SQL",Spring,"Amazon DynamoDB, ElasticSearch, MySQL, Redis",Postman,Más de 10000 personas,100% remoto,0,No,No,9,2,Responder sobre guardias,Terciario,Completo,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,"Sí, pasiva",0,Bruto,Terminar encuesta,27,Masculino,Sí,
5/7/2024 17:53:35,Corrientes,Full-Time,Contractor,3200000,3200000,Cobro todo el salario en dólares,,Un sueldo,Performance de la compañía,No,0,No tuve,4,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,4,1,1,0,Kubernetes,"CSS, HTML, Javascript, Python, SQL, TypeScript","Django, jQuery, React.js","PostgreSQL, SQLite",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,,No,8,5,Terminar encuesta,,,,,,,,,,23,Masculino,Sí,
5/7/2024 17:55:25,Provincia de Buenos Aires,Full-Time,Contractor,2160000,,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,4,3,3,0,"Amazon Web Services, Docker, Linux","Dart, Python, SQL, TypeScript","Angular, Django, Flutter, Node.js, NestJs","MySQL, PostgreSQL",Jest,De 11  a 50  personas,100% remoto,0,,No sé,8,3,Responder sobre mis estudios,Terciario,Completo,Analista Programador Universitario,UNLP - Universidad Nacional de La Plata,Terminar encuesta,,,,,27,Masculino,Sí,
5/7/2024 17:56:42,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1872000,1776000,Cobro parte del salario en dólares,,No,No recibo bono,Más de tres,73,Marzo,4,"Descuentos varios (Clarín 365, Club La Nación, etc)",3,"No, pero escucho ofertas.",Developer,13,2,2,0,Apple,"Objective-C, Swift",SwiftUI,Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),5,Los ajustes por inflacion,Sí,8,0,Responder sobre mis estudios,Universitario,Incompleto,Ingeniería en Informática,,Responder sobre guardias,No,0,Neto,Terminar encuesta,41,Masculino,No,"Globant, Globallogic, Accenture, Making Sense, DEPT"
5/7/2024 18:06:08,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3500000,3500000,Cobro todo el salario en dólares,1005,No,No recibo bono,No,0,No tuve,3,Ninguna de las anteriores,3,"No, pero escucho ofertas.",DevOps Engineer,13,13,3,2,"Amazon Web Services, Azure, Docker, Linux, VMWare, Windows Server",".NET, C#, CSS, HTML, Javascript, PHP, Python, SQL",".NET Core, Angular, Bootstrap, jQuery, WordPress","Amazon DynamoDB, Amazon RDS/Aurora, Microsoft SQL Server, MySQL","Postman, SoapUI",De 51 a 100 personas,100% remoto,0,,No,7,4,Terminar encuesta,,,,,,,,,,34,Masculino,Sí,
5/7/2024 18:25:33,Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1466785,1218432,,,No,No recibo bono,Uno,30,Marzo,3,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Lactario en la oficina, Viáticos",3,"No, pero escucho ofertas.",Developer,6,2,2,0,Tandem // HP NonStop,"C, C++, TAL",Ninguno de los anteriores,SQLite,Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),2,Por el momento no.,No sé,3,0,Terminar encuesta,,,,,,,,,,32,Masculino,Sí,
5/7/2024 18:26:38,Provincia de Buenos Aires,Full-Time,Contractor,2200000,2000000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,4,Ninguna de las anteriores,4,"No, pero escucho ofertas.",UX Designer,1,1,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,No,Sí,7,0,Responder sobre mis estudios,Universitario,Completo,Diseño Gráfico,UNLA - Universidad Nacional de Lanús,Terminar encuesta,,,,,41,Femenino ,Sí,Bancos
5/7/2024 18:30:02,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2183000,1800100,,,No,No recibo bono,Dos,80,Mayo,3,"Clases de idiomas, Horarios flexibles",3,"Sí, estoy buscando activamente.",Data Engineer,10,4,2,2,"Docker, Google Cloud Platform, Linux",Python,"Flask, TensorFlow","ElasticSearch, Google Cloud Storage, MongoDB, MySQL, PostgreSQL, SQLite",Postman,De 201 a 500 personas,100% remoto,0,"no, se mantuvo el aumento trimestral",No,5,4,Terminar encuesta,,,,,,,,,,31,Masculino,Sí,
5/7/2024 18:42:46,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1800000,1490000,,,Un sueldo,Performance individual,Tres,60,Abril,3,Abono de Internet,2,"No, pero escucho ofertas.",Developer,8,4,3,6,SAP,ABAP,"SAP, SAP Hana",HANA,Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,"30% en enero, 15% en marzo, 15% en abril, 30% en junio",No,8,0,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,,Responder sobre guardias,No,0,Bruto,Terminar encuesta,35,Masculino,Sí,
5/7/2024 18:54:07,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1700000,1600000,,,Un sueldo,Performance individual,Uno,20,Marzo,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",4,"No, estoy muy conforme.",Developer,4,2,1,0,"Amazon Web Services, Docker, Google Cloud Platform, Linux","CSS, Go, HTML, Java, Javascript, Python","Bootstrap, Django, Flask, Torch","ElasticSearch, MySQL, SQLite",JUnit,Más de 10000 personas,100% remoto,0,,No,10,3,Terminar encuesta,,,,,,,,,,29,Masculino,Sí,"mercadolibre, techint, jp morgan"
5/7/2024 18:59:40,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2000000,1800000,,,Un sueldo,Performance de la compañía,Uno,46,Febrero,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Guardería o pago para cubrir costo de guardería",3,"No, estoy muy conforme.",Developer,3,2,2,0,Ninguna de las anteriores,Java,Spring,MySQL,Postman,Más de 10000 personas,100% remoto,0,,No sé,9,4,Terminar encuesta,,,,,,,,,,34,Masculino,Sí,
5/7/2024 19:06:25,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4000000,3500000,,,De uno a tres sueldos,Performance de la compañía,Más de tres,0,No tuve,2,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Lactario en la oficina, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Viáticos",3,"No, estoy muy conforme.",SysAdmin,5,3,2,0,"Docker, Kubernetes, Linux, OpenShift, OpenStack, VMWare, Windows Server","Bash/Shell, Python",Spring,MongoDB,OpenQA,De 2001a 5000 personas,Híbrido (presencial y remoto),2,,No,8,3,Terminar encuesta,,,,,,,,,,35,Femenino,No,Ninguna
5/7/2024 19:17:48,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),783000,656000,,,Menos de un sueldo,Permanencia en la empresa ,Dos,35,Abril,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",Developer,2,2,2,0,"Docker, Windows Server","CSS, HTML, Javascript, SQL, TypeScript","Bootstrap, Next.js, Node.js, React.js","MongoDB, MySQL, PostgreSQL",Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),0,Inflacion ,No sé,7,4,Terminar encuesta,,,,,,,,,,24,Masculino ,No,Mercadolibre globant bancos 
5/7/2024 19:23:08,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),2600000,2200000,,,No,No recibo bono,Dos,110,Mayo,3,"Horarios flexibles, Licencia por nacimiento extendida",3,"Sí, estoy buscando activamente.",Developer,10,7,7,0,"Docker, Kubernetes, Linux, OpenShift, Serverless, Windows Server",".NET, Bash/Shell, C++, C#, Python, SQL",.NET Core,"ElasticSearch, Microsoft SQL Server, PostgreSQL, Redis",Postman,De 51 a 100 personas,Híbrido (presencial y remoto),0,,No sé,0,0,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Informática,UNLP - Universidad Nacional de La Plata,Terminar encuesta,,,,,45,Masculino,No,
5/7/2024 19:23:41,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),529449.2,441443,,,No,No recibo bono,Uno,40,Febrero,2,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles",2,"No, pero escucho ofertas.",Developer,2,2,2,0,"Amazon Web Services, ",".NET, C#, Javascript, SQL",Bootstrap,Microsoft SQL Server,Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),1,"No entiendo., soy de boca.",Sí,7,4,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,Responder sobre guardias,No,0,Bruto,Terminar encuesta,33,Masculino,No,"MercadoLibre, PedidosYa, "
5/7/2024 19:34:19,Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),1700000,1400000,Cobro parte del salario en dólares,890,Menos de un sueldo,Performance de la compañía,Dos,17,Mayo,1,"Abono de Internet, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Vacaciones flexibles (adicionales a las reglamentarias)",1,"No, pero escucho ofertas.",Architect,6,3,2,4,Ninguna de las anteriores,Java,"Hibernate, Spring, Vue.js",Sybase,"Jest, JUnit, Postman",De 201 a 500 personas,100% remoto,0,Trimestral ,Sí,7,1,Terminar encuesta,,,,,,,,,,29,Masculino ,No,
5/7/2024 19:35:39,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),650000,650000,,,No,No recibo bono,Dos,71,Abril,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",Developer,1,1,1,0,Docker,"HTML, Javascript, TypeScript","Next.js, Node.js, React.js",MySQL,Jest,De 51 a 100 personas,100% remoto,0,,No sé,0,5,Terminar encuesta,,,,,,,,,,26,Masculino,No,
5/7/2024 19:35:40,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1500000,1275000,,,No,No recibo bono,Uno,7,Abril,2,"Abono de celular, Horarios flexibles",2,"No, pero escucho ofertas.",SysAdmin,4,1.5,4,0,"Azure, Windows Server","CSS, HTML, PHP, SQL",Bootstrap,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL",Ninguna de las anteriores,De 11  a 50  personas,Híbrido (presencial y remoto),3,,Sí,7,4,Terminar encuesta,,,,,,,,,,28,Masculino,Sí,
5/7/2024 19:38:02,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),2100000,1900000,,,Un sueldo,Performance de la compañía,Uno,45,Febrero,3,"Abono de Internet, Comidas pagas / subvencionadas, Horarios flexibles",3,"No, pero escucho ofertas.",QA / Tester,5,2,2,0,"Docker, Kubernetes, Mainframe","COBOL, Java, SQL",Ninguno de los anteriores,MySQL,"Appium, Cucumber",De 2001a 5000 personas,100% remoto,0,si,Sí,7,4,Terminar encuesta,,,,,,,,,,44,Femenino,No,epam
5/7/2024 19:46:20,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3666000,3666000,Cobro todo el salario en dólares,,No,No recibo bono,No,0,No tuve,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",DevOps Engineer,2.5,0,2.5,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Go, Python",Ninguno de los anteriores,"Amazon RDS/Aurora, ElasticSearch, MySQL, Redis",Ninguna de las anteriores,De 2 a 10 personas,Híbrido (presencial y remoto),2,No porque es una empresa de afuera y paga en USD,No,10,5,Responder sobre mis estudios,Universitario,En curso,Ingeniería Electrónica,UBA - Universidad de Buenos Aires,Terminar encuesta,"Sí, activa",0,Porcentaje de mi sueldo bruto,Responder sobre mis estudios,25,Femenino ,Sí,
5/7/2024 19:46:54,Ciudad Autónoma de Buenos Aires,Part-Time,Contractor,950000,1100000,Cobro todo el salario en dólares,860,De uno a tres sueldos,Performance de la compañía,Uno,0.05,Marzo,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Descuentos varios (Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,0,0,0,0,"Amazon Web Services, Docker, Linux","Bash/Shell, HTML, Java, Python, Scala, SQL, TypeScript","Angular, Hibernate, jQuery, Node.js, React.js, Spring","Cassandra, ElasticSearch, MariaDB, MongoDB, MySQL, Redis",Ninguna de las anteriores,De 501 a 1000 personas,100% remoto,0,,Sí,10,5,Responder sobre mis estudios,Universitario,En curso,Licenciatura en Informática,UNLP - Universidad Nacional de La Plata,Terminar encuesta,,,,,29,Masculino,No,"Globant, MELI, Accenture, Despegar, "
5/7/2024 20:07:48,Provincia de Buenos Aires,Full-Time,Staff (planta permanente),1200000,1000000,Cobro parte del salario en dólares,Oficial,Menos de un sueldo,Performance individual,Dos,35,Marzo,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Developer,4,4,4,0,"Amazon Web Services, Firebase","CSS, HTML, Javascript, TypeScript","Angular, Ionic",Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,,No,7,3,Terminar encuesta,,,,,,,,,,28,Masculino,Sí,
5/7/2024 20:09:36,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1070000,968000,,,No,No recibo bono,Dos,11,Abril,2,Capacitaciones y/o cursos,2,"No, pero escucho ofertas.",Developer,1,1,1,1,"Docker, Linux","CSS, HTML, Javascript, PHP, Python, SQL","Bootstrap, Flask, jQuery, Laravel","ElasticSearch, MariaDB, MySQL, Redis",PHPUnit,De 11  a 50  personas,Híbrido (presencial y remoto),4,,No,7,1,Terminar encuesta,,,,,,,,,,31,Masculino,No,
5/7/2024 20:09:50,Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3500000,3500000,Cobro parte del salario en dólares,,No,No recibo bono,Uno,12,Febrero,2,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",Developer,6,2,2,0,"Docker, Kubernetes, Linux","HTML, Java, Javascript, Solidity, TypeScript","Next.js, Node.js, React.js, Spring","MongoDB, PostgreSQL",Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,,No,10,5,Responder sobre mis estudios,Universitario,Completo,Licenciatura en Administración,UADE - Universidad Argentina De la Empresa,Terminar encuesta,,,,,30,Masculino,Sí,
5/7/2024 20:10:26,Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),1400000,1100000,,,No,No recibo bono,Uno,30,Febrero,1,prepaga familiar,1,"No, pero escucho ofertas.",Project Manager,5,3,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,,No sé,0,0,Terminar encuesta,,,,,,,,,,53,Masculino,No,"Mercado Libre, Globant"
